,Sample Size,PP Accuracy,PP min,PP max,Accuracy,min,max,Accuracy v,min v,max v,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max
0,5,59.05156276173933,55.62146365344673,66.21221673869191,74.0428697304966,59.51142279030805,100.0,67.57284634524943,58.28214231792861,82.89465900877431,71.36479191661888,56.151899037366604,82.61839769215811,60.89448937453313,55.7022891686139,70.8550495253908
1,10,33.46233717708825,30.29937661471575,37.86185856875782,58.61653389851664,44.23407987574123,70.55365668371269,48.486128515102266,38.84932949419637,63.6775949890468,56.778571458380135,43.12447024079257,68.72360780536395,37.74136207265419,32.57186819528573,47.57413614463035
2,20,21.026895665744956,19.12533897816569,23.88901121603471,52.005420285695884,37.02041182706443,63.35120279356741,39.56323626514265,31.899066974927027,53.76851110356804,50.933513882515655,35.16682030529982,61.65983882294517,27.76585863615805,23.026146132146653,41.4311621623058
3,30,16.454092524501238,14.566721507595453,18.299512609652677,50.56966856283202,42.04501842059987,60.84155401809737,37.220947676702714,26.411145711585114,44.59527004653765,49.70194156753769,41.25067026093724,58.630933631603696,24.46097988534478,19.86755082679659,32.32560182399637
4,40,14.149583675110273,12.744094695241067,16.6453837554497,49.67022865838937,41.927469536335884,56.509786185126806,35.40880587246145,26.74380207944333,43.13707776790532,48.048479417174825,41.15296943335314,55.277402873443634,22.656594640663425,18.497915014589143,27.315325169611715
5,50,12.635840120728583,11.53586465828409,14.221226295613024,48.87427601683428,41.498638587528106,57.33438751318731,35.02234968842218,28.038707621705694,41.12611962749817,47.99346932536625,39.26205635305649,55.97242545631386,21.81230299238351,18.136071425774563,25.849359478855206
6,60,11.774823708577701,10.600828693202452,12.94748846273715,48.41046719799305,41.09590050606005,55.415537080668365,34.527794695579985,29.461520597445094,40.89164981522063,47.56618509300737,41.65827519194657,53.851772812145114,20.73849806296551,17.24850458458989,26.82460744986838
7,70,10.912728905355403,9.718238363061571,11.882750380118706,48.658278216503305,39.58126273197979,54.306333589037806,34.23138456918887,24.996135190341658,40.693922681764924,47.371938859148315,41.61486934425964,53.233892391293146,20.64977816189714,17.3116847864777,25.46051045454454
8,80,10.341471342157629,9.782257355874572,11.199352157500718,48.2031359058352,41.13742203138947,53.89348639398233,34.055569567700054,28.270589374845034,40.6673065206513,47.57448924971659,42.36569408434385,52.761965539190605,20.060450769772995,15.920330375022424,23.435184895902587
9,90,9.785789960729836,8.793952072124647,10.696592914462025,47.95468931944563,40.747039263529004,57.40617526336473,33.601741178816305,29.080888421190572,39.2573656846568,47.11139041348927,40.939802590297894,53.617702609552076,19.868292152987003,17.12704097819253,22.80976347757936
10,100,9.477303293787715,8.748088955257701,10.342021440715543,47.88990613598304,41.49363332573003,53.8134303000419,33.4918045575899,28.85996850752125,38.327542054451094,46.85979571041561,42.112867509105634,52.31427678380665,19.400841299098186,15.300560714981259,22.416572721540255
