,Sample Size,PP Accuracy,PP min,PP max,Accuracy,min,max,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max
0,5,0.48996282527881035,0.24907063197026022,0.7509293680297398,0.5501858736059478,0.24907063197026022,0.7509293680297398,0.48494423791821556,0.24907063197026022,0.7509293680297398,0.4899628252788104,0.24907063197026022,0.7509293680297398
1,10,0.5195910780669145,0.2342007434944238,0.7806691449814126,0.5588475836431227,0.2527881040892193,0.7992565055762082,0.5580297397769516,0.24535315985130113,0.8029739776951673,0.5961338289962825,0.24907063197026022,0.8252788104089219
2,20,0.5731598513011152,0.24907063197026022,0.7992565055762082,0.560817843866171,0.26394052044609667,0.8029739776951673,0.5670631970260223,0.24907063197026022,0.79182156133829,0.6164312267657993,0.30111524163568776,0.8029739776951673
3,30,0.6036059479553904,0.31970260223048325,0.8104089219330854,0.5689591078066915,0.24907063197026022,0.8438661710037175,0.6081784386617101,0.2899628252788104,0.8215613382899628,0.6409665427509293,0.4312267657992565,0.7992565055762082
4,40,0.6065799256505575,0.29739776951672864,0.862453531598513,0.6108550185873605,0.27137546468401486,0.8178438661710037,0.598624535315985,0.31970260223048325,0.8475836431226765,0.6602602230483271,0.41263940520446096,0.8401486988847584
5,50,0.6080669144981413,0.34944237918215615,0.79182156133829,0.6421189591078067,0.30855018587360594,0.8327137546468402,0.6181040892193309,0.3420074349442379,0.8401486988847584,0.6680297397769518,0.49070631970260226,0.828996282527881
6,60,0.60817843866171,0.3643122676579926,0.8029739776951673,0.6204832713754648,0.35315985130111527,0.8029739776951673,0.6257620817843865,0.3903345724907063,0.8252788104089219,0.6752416356877324,0.4349442379182156,0.8029739776951673
7,70,0.6255018587360595,0.3680297397769517,0.8252788104089219,0.6501115241635688,0.3643122676579926,0.8401486988847584,0.6127137546468401,0.36059479553903345,0.8178438661710037,0.675167286245353,0.5018587360594795,0.8178438661710037
8,80,0.6179553903345725,0.3903345724907063,0.7992565055762082,0.6393680297397769,0.38661710037174724,0.8401486988847584,0.6283271375464683,0.3940520446096654,0.8252788104089219,0.6803345724907062,0.5427509293680297,0.8029739776951673
9,90,0.6011152416356876,0.38661710037174724,0.8252788104089219,0.6534572490706319,0.4423791821561338,0.8475836431226765,0.6386617100371746,0.39776951672862454,0.8401486988847584,0.6815985130111525,0.4944237918215613,0.79182156133829
10,100,0.6168029739776952,0.4349442379182156,0.8215613382899628,0.6669144981412639,0.43866171003717475,0.8438661710037175,0.6500371747211895,0.4052044609665427,0.8066914498141264,0.6769516728624535,0.516728624535316,0.828996282527881
