DHX15_HUMAN,G3P_HUMAN,HSPB1_HUMAN,ENOA_HUMAN,NPM_HUMAN,HS90A_HUMAN,HNRPC_HUMAN,HS90B_HUMAN,ANXA5_HUMAN,H14_HUMAN,CH60_HUMAN,KPYM_HUMAN,ENPL_HUMAN,PGAM1_HUMAN,NUCL_HUMAN,RL13_HUMAN,CALR_HUMAN,S10AB_HUMAN,MYH10_HUMAN,RBMX_HUMAN,LPPRC_HUMAN,RL28_HUMAN,SYAC_HUMAN,HNRPM_HUMAN,RS23_HUMAN,TYB10_HUMAN,RS4X_HUMAN,H4_HUMAN,RL23_HUMAN,HNRPU_HUMAN,PSME1_HUMAN,EF1A1_HUMAN,PARK7_HUMAN,BioReplicate
9.36891997,10.16796828,11.7779129,10.92072131,10.90601005,10.33512227,10.63469226,11.55357789,9.207920486,11.36023702,10.29631008,9.835968281,9.739448429,11.02410001,11.6169699,11.6102051,10.77143083,10.95409736,8.977201485,10.31958604,9.515951285,11.59978096,9.693548265,10.49555907,11.27116037,13.48270441,10.37863687,10.53184722,11.75297854,10.40587119,9.219096783,9.846336794,10.13304782,0
9.489853105,10.18081688,10.81860856,10.8714401,10.88986149,10.39681261,10.33011809,11.01459449,9.597436842,11.42297231,9.884754078,10.02945811,9.806256414,10.73872135,11.39576934,11.4722268,10.42044575,10.80186722,8.716879964,10.06398663,9.317574907,11.34267077,8.996444313,10.34123328,11.97372245,13.07012192,10.51760579,10.64500272,11.2383433,10.66781163,9.916109691,10.18728377,10.55350176,0
9.766231019,10.70683711,11.75041217,12.44284465,12.4273666,11.02608037,10.60909786,11.07608923,11.80854906,11.63855975,10.44456003,10.79439648,10.20319751,11.81847947,12.32555508,11.93815057,10.03997198,10.78206873,10.06359052,10.54955119,10.17279938,12.1886759,10.45683778,10.81851868,11.03023085,12.58797821,11.21516623,11.62625013,10.96216157,11.16627157,10.28581797,10.18596505,11.76715071,1
10.04867093,9.803506134,11.67477449,11.81887185,11.91968897,10.95786795,10.55275332,11.52333229,11.58272663,11.26953627,10.17790632,10.21246016,10.6200365,11.2101588,12.14259642,12.140113,9.789405618,10.30014734,10.1897552,10.6301359,10.18045083,12.24689737,10.17443997,10.65675957,11.45692996,12.26478007,9.961714279,11.1583864,10.93850258,11.00713001,9.975372314,10.42765056,10.36537892,1
10.15591766,10.45922617,12.51019222,11.99897226,11.54473575,11.23046952,10.72744606,11.37241633,11.37021434,11.7081664,10.10566691,10.57885452,11.10690896,11.70864461,12.1800889,12.05930918,10.374597,10.8642601,9.743992153,10.79546656,9.539788536,12.18346428,10.64360374,10.79250061,11.3882138,11.66169279,10.57509429,11.42690329,12.06747311,11.15514869,10.30890081,9.994868137,10.84117537,1
10.05941086,10.29400434,12.03061151,11.99700442,11.88095907,11.16997388,10.61712668,11.1223899,11.52889215,11.66661629,10.3227941,10.93078891,10.9465408,11.52950845,12.25554083,12.10302397,10.19692535,10.94579689,10.00978628,10.87620401,10.01482301,11.89324854,10.39816546,10.79699742,11.34516011,12.26380484,10.85967244,11.35505312,11.71259634,11.40623055,10.34699154,10.37120833,10.5620929,1
10.54010057,11.10264335,12.12115513,12.62224864,12.50896056,11.40846688,11.08601753,11.53638893,11.89790301,12.2783021,10.55898254,10.95706987,11.74812616,12.01855436,12.51091288,12.28443101,10.59444976,11.23512371,10.26956044,11.1449941,10.06971776,12.30812404,10.81789033,10.96684679,11.58137456,12.50095031,11.02124245,12.30842535,11.67099294,11.3729058,10.2829543,10.94384862,11.6342146,1
9.957022241,10.69606724,12.04039412,12.34525439,12.50006885,11.38908466,11.06200856,11.70163339,11.53361815,11.60464256,10.16676805,10.94046733,11.30120979,11.37846258,12.43398409,12.381847,10.76611494,10.68651513,9.985904277,10.90201842,9.965360143,12.17730051,10.39108071,10.772917,11.06436414,11.3810675,10.84212413,11.58136539,11.425821,11.36369875,9.735431048,10.36931245,11.30857246,1
9.907881864,10.62718583,11.91822853,11.78096728,12.06837594,11.03741698,11.04268672,11.17010173,11.29154974,12.17853072,10.94786577,10.91565869,10.66808721,11.13608087,12.01091983,12.15708132,10.94827915,11.271232,9.537817679,10.71102941,9.990310454,12.20070081,9.760653133,10.7192679,11.49710295,14.80789119,10.92612728,11.70779507,11.64117671,11.31181422,10.20410361,10.47668992,11.18184459,0
9.57486676,9.762097098,11.79254112,11.3677293,11.59997938,10.4793202,10.64947243,11.0578921,8.56062811,11.55833249,10.47663657,10.18678742,10.19292048,11.12222186,11.52648017,11.67407194,10.13821855,11.17058874,8.827678609,10.57343232,9.660657107,11.91691116,8.428813883,10.41720785,11.03174689,13.7220175,10.87627809,11.66267545,11.43547315,10.97929439,9.779475806,10.10769951,10.09702269,0
9.546839327,9.336188456,11.21003444,10.88198316,10.65153738,9.982629806,10.28062369,10.85226339,8.354168857,11.44042967,10.08127807,9.870126873,9.76866404,10.48795762,11.03735081,11.66893412,10.12330966,10.9835076,8.047832168,10.01548777,8.957054291,11.67513883,8.555077565,9.747881869,10.32755102,13.3257463,10.43251325,10.66240979,10.72478229,10.29950307,9.547097629,9.976771909,10.52707382,0
8.937359615,9.139852145,10.79292039,10.85697083,10.62448777,9.617692168,10.16343141,11.46254723,8.540431203,11.03484844,9.565615337,9.519591778,9.366208095,10.59834607,11.03732067,11.27482868,10.14231524,10.44350786,7.549713188,10.16245005,8.843390457,11.17124327,8.064003449,9.591701047,10.87754938,13.1303176,9.38847056,10.27721837,10.67077362,10.43800436,10.25365593,9.272224081,9.812898427,0
9.986061721,9.915773272,12.05986665,11.41176633,11.17404211,10.71704809,11.05998726,11.75360207,8.955108197,11.97223486,10.36965084,10.4071304,10.42358259,11.33267463,11.82547014,11.98191631,10.83529263,11.36653591,9.284643448,10.80007664,9.847035754,11.9338659,9.867588416,10.98965558,11.26416669,13.41786166,10.49748987,11.54725542,11.72599976,11.24737738,10.62849386,10.14782683,10.86845291,0
7.504877534,6.614847601,9.023676246,8.144000232,7.929635499,7.947542313,8.347413003,9.449838523,8.708585883,8.127079935,7.520489287,7.143462247,7.947349462,8.18577514,8.480010704,7.700165976,8.439699646,7.543447951,7.914268677,9.533943456,7.75482948,9.166555326,9.121309321,9.494988563,10.13148514,9.938757041,7.415997402,7.957313597,10.0273667,7.710076379,8.441768774,8.831789168,7.734522768,0
9.865090738,10.57364795,11.01665362,12.02145751,11.56331107,10.9392154,10.01354327,10.74171736,10.35423934,11.45054424,9.921248404,11.02464624,10.66560168,11.48349733,11.26210434,11.3735867,10.37076708,10.75890176,9.771407518,10.65484221,9.741693142,10.98657716,10.63388762,10.74638868,11.84907978,13.41851954,10.00352438,12.30092571,11.32563922,10.93261702,9.724826442,12.29833056,10.51120734,1
