Dataset,Size,TP,TN,FP,FN
1,5,1,2,0,30
1,10,5,2,0,26
1,15,10,2,0,21
1,20,12,2,0,19
1,25,18,2,0,13
1,30,20,2,0,11
1,35,23,2,0,8
1,40,26,2,0,5
1,45,26,2,0,5
1,50,26,2,0,5
1,55,27,2,0,4
1,60,27,2,0,4
1,65,27,2,0,4
1,70,28,2,0,3
1,75,29,2,0,2
1,80,29,2,0,2
1,85,30,2,0,1
1,90,29,2,0,2
1,95,30,2,0,1
1,100,30,2,0,1
2,5,8,2,0,23
2,10,10,2,0,21
2,15,23,2,0,8
2,20,13,2,0,18
2,25,19,2,0,12
2,30,19,2,0,12
2,35,25,2,0,6
2,40,25,2,0,6
2,45,28,2,0,3
2,50,28,2,0,3
2,55,28,2,0,3
2,60,28,2,0,3
2,65,28,2,0,3
2,70,28,2,0,3
2,75,28,2,0,3
2,80,28,2,0,3
2,85,29,2,0,2
2,90,29,2,0,2
2,95,29,2,0,2
2,100,29,2,0,2
3,5,12,2,0,19
3,10,23,2,0,8
3,15,25,2,0,6
3,20,23,2,0,8
3,25,23,2,0,8
3,30,25,2,0,6
3,35,27,2,0,4
3,40,29,2,0,2
3,45,29,2,0,2
3,50,29,2,0,2
3,55,29,2,0,2
3,60,29,2,0,2
3,65,29,2,0,2
3,70,29,2,0,2
3,75,29,2,0,2
3,80,29,2,0,2
3,85,29,2,0,2
3,90,30,2,0,1
3,95,30,2,0,1
3,100,30,2,0,1
