,Sample Size,PP Accuracy,PP min,PP max,Accuracy,min,max,Accuracy v,min v,max v,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max
0,5,65.84529305383941,57.49739477746536,74.29353569342342,88.83328783725594,67.13579208568778,97.61099208803743,88.9364018474598,67.99301667317262,96.57808206999773,87.2274662241613,69.8757508876903,96.20961319195526,77.58737001712338,60.75178979792757,90.22162344149356
1,10,44.96370995529408,37.65898433852705,52.374621051228964,85.30256256043243,64.94735209156262,93.29662272064357,83.13212707981967,67.59023017744505,91.30529020846365,82.83402663939198,68.4583668495495,92.11599006915684,65.06764183014829,51.60581449175379,78.5977992134779
2,20,34.9524512922701,26.940324634138623,39.62447394096686,83.59909979094073,65.10769942161302,91.07408316703398,80.60622339462458,72.55386997613272,85.77529743240432,81.82891240253575,70.31584594077567,87.60539200574185,60.98179843484114,48.711960281275594,72.65643399352156
3,30,31.313314149708916,27.50008203752759,35.892115728391005,83.29865553827665,74.9171554536484,88.55018762152336,79.54297089738074,70.1115202256417,86.96819660366326,81.24912655832163,70.28274540169038,87.62533068799895,59.025820403902514,47.56476144436775,67.05457026256937
4,40,29.74406851156541,26.04806363793833,34.722577315373634,81.90389498316779,62.27422718345499,87.37272456590364,78.92737469141521,71.31110788994792,85.22518254927962,81.15412352807515,74.21010286516369,86.55287574594878,57.991706990311314,49.39790577561065,65.98494095408127
5,50,28.749006700074464,24.538423774791113,32.55840773384669,82.26015835943004,76.86336771372606,86.17871056434096,78.90440607303108,73.14048284189137,82.30212032123794,80.2044034963884,74.01963944518765,85.89563339711734,58.108051090536556,51.18802368103622,65.07559345602603
6,60,28.10679194421847,24.61392563990561,31.416250860249768,82.06359357524872,78.25939901940482,86.65532257701432,79.044434099225,73.48820153516947,83.96119001275663,80.34696556207179,73.15185860024918,87.78826737468306,57.70887905190001,51.56113440043191,65.06341539202694
7,70,27.351974468517326,24.85439353067006,29.877417892542113,82.41934766453258,77.4286146991065,86.91986755641477,78.7792767708705,74.41090264203231,81.90721028205998,80.0469604449313,70.67572057950464,85.46408240105904,57.16250008628581,49.3794031550491,64.79334342251994
8,80,27.09813966234211,24.496940359201467,29.58402439622861,81.79442258097535,75.7555921549751,85.46452427256848,78.53282743380015,74.04086272616549,83.91623935888171,80.04391480314419,73.06148780556804,84.46774424847521,57.28620519760494,52.1144935219501,64.37832397644974
9,90,26.58022424009014,23.38666570031409,29.145324372735605,82.01544666409454,77.45824971532193,85.43879925172598,78.6055772363695,74.4206323364245,81.61740535390848,80.15272158631933,75.77723591399604,83.59887778440978,56.78661253108079,50.194691943213755,62.98332569982465
10,100,26.464020637549993,23.64349769441387,29.196016263465634,81.75817533742423,75.9492953418787,85.77937381361647,78.47036088298233,74.56118907850923,81.89429760456667,79.86914639030793,73.45598832569142,83.23651584847207,57.129446807268394,51.290029407800965,64.58389298905551
