,Sample Size,PP Accuracy,PP min,PP max,Accuracy,min,max,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max
0,5,0.6727586206896552,0.5,0.8706896551724138,0.7326724137931034,0.3103448275862069,0.9224137931034483,0.6465517241379309,0.25862068965517243,0.9224137931034483,0.7370689655172413,0.5,0.9051724137931034
1,10,0.7749137931034482,0.49137931034482757,0.9137931034482759,0.7887068965517241,0.5086206896551724,0.9224137931034483,0.7574137931034483,0.5,0.9310344827586207,0.8140517241379311,0.5,0.9482758620689655
2,20,0.7997413793103446,0.6637931034482759,0.8879310344827587,0.8733620689655173,0.6982758620689655,0.9482758620689655,0.8387931034482758,0.5689655172413793,0.9396551724137931,0.8335344827586206,0.6810344827586207,0.9051724137931034
3,30,0.8139655172413793,0.7241379310344828,0.8793103448275862,0.8989655172413794,0.8362068965517241,0.9396551724137931,0.8823275862068967,0.7413793103448276,0.9568965517241379,0.8505172413793103,0.7672413793103449,0.8879310344827587
4,40,0.8161206896551724,0.7155172413793104,0.8879310344827587,0.9055172413793103,0.7758620689655172,0.9568965517241379,0.8986206896551725,0.7068965517241379,0.9913793103448276,0.8525,0.7844827586206896,0.896551724137931
5,50,0.8257758620689654,0.7327586206896551,0.896551724137931,0.9198275862068964,0.8103448275862069,0.9655172413793104,0.9122413793103449,0.7844827586206896,0.9741379310344828,0.8551724137931034,0.7931034482758621,0.896551724137931
6,60,0.8337931034482761,0.7586206896551724,0.8879310344827587,0.9320689655172413,0.8879310344827587,0.9827586206896551,0.9166379310344827,0.8448275862068966,0.9655172413793104,0.862241379310345,0.8103448275862069,0.896551724137931
7,70,0.8363793103448275,0.7586206896551724,0.896551724137931,0.9343103448275863,0.896551724137931,0.9827586206896551,0.916551724137931,0.7586206896551724,0.9741379310344828,0.8606034482758619,0.8275862068965517,0.896551724137931
8,80,0.8391379310344828,0.7672413793103449,0.8879310344827587,0.9418965517241379,0.896551724137931,0.9827586206896551,0.9219827586206897,0.853448275862069,0.9741379310344828,0.8626724137931033,0.7931034482758621,0.896551724137931
9,90,0.8423275862068966,0.7413793103448276,0.8879310344827587,0.9477586206896552,0.896551724137931,0.9913793103448276,0.9264655172413794,0.853448275862069,0.9655172413793104,0.8652586206896554,0.8362068965517241,0.9137931034482759
10,100,0.8423275862068969,0.7844827586206896,0.8879310344827587,0.9525,0.9137931034482759,0.9913793103448276,0.9345689655172413,0.8879310344827587,0.9827586206896551,0.8687068965517242,0.8362068965517241,0.9051724137931034
