,Sample Size,PP Accuracy,PP min,PP max,Accuracy,min,max,Accuracy v,min v,max v,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max
0,5,67.2702856372246,56.58635490814432,75.23690661518039,90.56977505431495,75.21376180217227,98.53761731984504,88.32245591062508,69.22478419027075,97.75776795447781,90.04944899838205,70.79885859505399,97.54896813632237,77.45561016293101,61.52026600689484,91.54894547310694
1,10,47.62965004369275,38.6290928701862,56.21427744798062,86.54559447272484,72.25492843981122,94.38065122319766,82.81731503411478,62.405714852140015,94.90134354138885,84.47914302134222,63.15093789661156,94.49469690294575,69.47960434206861,49.70901122746502,82.82258935806865
2,20,38.2706754960039,28.53050199076792,45.11738209476478,84.24986075599355,73.75481046451704,89.72766917855814,79.96000359160801,69.8845648299703,88.31853913262675,82.34116394725724,67.69190641021964,89.54915668160127,65.32407685975231,51.55695119952824,77.06288813422833
3,30,35.32124997986134,28.820125076448516,40.9374382105237,83.4700082559725,74.20546290783237,88.86470627898862,77.96228243985793,70.32259735150265,86.12661366269754,82.45232131753573,73.32303737077557,87.5402426745702,63.39294029266257,49.47792017537882,75.25772848177408
4,40,33.64783875352085,30.3096908112982,38.048776038528764,83.87126275783649,78.39690827180803,87.9454478278619,78.16834871592502,71.45202022035502,84.10548719009554,81.98647373845468,74.70311776743631,88.1925364203047,63.04396226032051,52.02882249928309,69.29581632640837
5,50,32.38718213229239,27.274302094661973,35.90975188606295,83.72171569542094,76.99000592230512,88.31899633346816,78.18702612082103,71.89194145878723,83.4465167457621,82.0212322321289,74.0920783288612,87.77358470070335,62.75949685002362,52.27854485073228,69.70264086641352
6,60,32.11307742247183,28.768658663448903,36.86288661094883,83.29388235411358,76.48089392177366,87.38947600045248,77.40365475465576,72.16385553235344,82.65948675988541,81.76663654558403,75.26360930548354,86.59378367972778,62.260486594634294,51.441932288891465,67.93990999879533
7,70,31.48622703286126,28.685703043212108,34.67821249204724,83.04196642235671,79.02288129651417,87.81750789945941,77.19076145527762,71.2306241645875,82.78168028849738,81.25824014413055,76.12731570249112,85.73639806496041,62.01120359176503,55.64955046372242,66.7602575900474
8,80,31.03923342862229,27.396185703464788,34.276246915420906,82.84336476734642,77.94438169741444,87.21842558329776,77.02694150035288,72.25206995441388,81.21727613265321,81.19758791036048,74.97426352902384,85.14131304982556,62.151240968014015,56.29569785376019,67.61699181835372
9,90,30.49118395005512,27.881993172044666,32.7059651000173,83.01500904669591,76.61478641041681,86.47468249206281,77.29805484213851,72.78063589625006,81.36526619457925,81.19421214630015,75.40337501295056,86.28079479197633,61.7202398622956,56.101197976473486,68.67306478745004
10,100,30.52487506349647,27.38301652906988,33.43250433478267,82.7092542899651,78.54849290825963,86.87840125520412,77.29649159174721,73.70551362600915,80.74842855088713,81.48732104650257,74.60331875080466,85.25282368289623,62.05108256691071,56.24151308508093,66.9897921948597
