source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
14013	SMC4	IncreaseAmount	13339	KIF4A	33222801009602383	1	"{""reach"": 1}"
9841	RALBP1	IncreaseAmount	994	BCL2L11	13677734660059651	1	"{""reach"": 1}"
9077	PLK1	DecreaseAmount	994	BCL2L11	19893360747849344	1	"{""reach"": 1}"
6850	MAP3K11	DecreaseAmount	994	BCL2L11	-16553396409982660	1	"{""medscan"": 1}"
593	BIRC5	IncreaseAmount	994	BCL2L11	-19094603732133875	1	"{""reach"": 1}"
593	BIRC5	DecreaseAmount	994	BCL2L11	15682578491022684	2	"{""reach"": 2}"
28611	RICTOR	DecreaseAmount	994	BCL2L11	31879996925777898	1	"{""reach"": 1}"
11393	AURKA	DecreaseAmount	994	BCL2L11	-34053266092709536	1	"{""medscan"": 1}"
1014	BCR	DecreaseAmount	994	BCL2L11	20599364941334387	1	"{""reach"": 1}"
1014	BCR	IncreaseAmount	994	BCL2L11	-4789335680009969	1	"{""reach"": 1}"
7733	NEDD9	IncreaseAmount	3155	ECT2	10413435616061361	1	"{""reach"": 1}"
6393	KIF2C	IncreaseAmount	3155	ECT2	-10726968552014137	1	"{""reach"": 1}"
583	APC	DecreaseAmount	3155	ECT2	-23044140312390764	1	"{""reach"": 1}"
9077	PLK1	DecreaseAmount	12401	TTK	-30696187175228933	1	"{""reach"": 1}"
1148	BUB1	IncreaseAmount	12401	TTK	15464575608706152	1	"{""reach"": 1}"
9077	PLK1	IncreaseAmount	16068	PCNT	-2627785658140669	2	"{""reach"": 2}"
9077	PLK1	DecreaseAmount	16068	PCNT	-1147383262218147	3	"{""medscan"": 3}"
29511	CEP131	IncreaseAmount	16068	PCNT	17213366015040992	1	"{""reach"": 1}"
25515	CEP192	DecreaseAmount	16068	PCNT	10200783875384982	1	"{""reach"": 1}"
25515	CEP192	DecreaseAmount	16068	PCNT	-17168111834901417	1	"{""medscan"": 1}"
