,agA_name,agB_name,agA_ns,agA_id,agB_ns,agB_id,residue,position,stmt_type,evidence_count,stmt_hash,belief,source_counts,initial_sign
116,NCL,NPM1,HGNC,7667,HGNC,7910,,,Complex,70,-23762781244337913,0.9999999614998772,{'reach': 1},
117,NPM1,NCL,HGNC,7910,HGNC,7667,,,Complex,70,-23762781244337913,0.9999999614998772,{'reach': 1},
164,HNRNPC,RBMX,HGNC,5035,HGNC,9910,,,Complex,15,-24798659744888295,0.9999229972719362,{'sparser': 1},
165,RBMX,HNRNPC,HGNC,9910,HGNC,5035,,,Complex,15,-24798659744888295,0.9999229972719362,{'sparser': 1},
144,HNRNPU,NCL,HGNC,5048,HGNC,7667,,,Complex,7,4444574243420302,0.99963299,{'sparser': 1},
145,NCL,HNRNPU,HGNC,7667,HGNC,5048,,,Complex,7,4444574243420302,0.99963299,{'sparser': 1},
46,ENO1,GAPDH,HGNC,3350,HGNC,4141,,,Complex,7,21516731963128826,0.999891122,{'reach': 1},
45,GAPDH,ENO1,HGNC,4141,HGNC,3350,,,Complex,7,21516731963128826,0.999891122,{'reach': 1},
62,C11orf98,NPM1,HGNC,51238,HGNC,7910,,,Complex,4,-18286896007819534,0.9419,{'sparser': 1},
26,NPM1,GAPDH,HGNC,7910,HGNC,4141,,,Complex,4,-27064706451368676,0.99649965,{},
27,GAPDH,NPM1,HGNC,4141,HGNC,7910,,,Complex,4,-27064706451368676,0.99649965,{},
61,C11orf98,NCL,HGNC,51238,HGNC,7667,,,Complex,4,-18286896007819534,0.9419,{'sparser': 1},
63,NCL,C11orf98,HGNC,7667,HGNC,51238,,,Complex,4,-18286896007819534,0.9419,{'sparser': 1},
25,PKM,GAPDH,HGNC,9021,HGNC,4141,,,Complex,4,21202299633098444,0.99876275,{'biogrid': 1},
64,NCL,NPM1,HGNC,7667,HGNC,7910,,,Complex,4,-18286896007819534,0.9419,{'sparser': 1},
65,NPM1,C11orf98,HGNC,7910,HGNC,51238,,,Complex,4,-18286896007819534,0.9419,{'sparser': 1},
66,NPM1,NCL,HGNC,7910,HGNC,7667,,,Complex,4,-18286896007819534,0.9419,{'sparser': 1},
119,HNRNPU,NPM1,HGNC,5048,HGNC,7910,,,Complex,4,32140302641900563,0.98999999,{'biogrid': 1},
118,NPM1,HNRNPU,HGNC,7910,HGNC,5048,,,Complex,4,32140302641900563,0.98999999,{'biogrid': 1},
24,GAPDH,PKM,HGNC,4141,HGNC,9021,,,Complex,4,21202299633098444,0.99876275,{'biogrid': 1},
157,HNRNPA2B1,RBMX,HGNC,5033,HGNC,9910,,,Complex,3,-7002773228276995,0.923,{'sparser': 1},
152,HNRNPC,RBMX,HGNC,5035,HGNC,9910,,,Complex,3,-7002773228276995,0.923,{'sparser': 1},
156,HNRNPA2B1,HNRNPC,HGNC,5033,HGNC,5035,,,Complex,3,-7002773228276995,0.923,{'sparser': 1},
155,RBMX,HNRNPA2B1,HGNC,9910,HGNC,5033,,,Complex,3,-7002773228276995,0.923,{'sparser': 1},
154,RBMX,HNRNPC,HGNC,9910,HGNC,5035,,,Complex,3,-7002773228276995,0.923,{'sparser': 1},
153,HNRNPC,HNRNPA2B1,HGNC,5035,HGNC,5033,,,Complex,3,-7002773228276995,0.923,{'sparser': 1},
143,HNRNPU,ELAVL1,HGNC,5048,HGNC,3312,,,Complex,2,-16362210781544776,0.86,{'sparser': 1},
142,HNRNPU,NCL,HGNC,5048,HGNC,7667,,,Complex,2,-16362210781544776,0.86,{'sparser': 1},
141,ELAVL1,HNRNPU,HGNC,3312,HGNC,5048,,,Complex,2,-16362210781544776,0.86,{'sparser': 1},
37,GAPDH,HSP90AA1,HGNC,4141,HGNC,5253,,,Complex,2,-33033445460311425,0.9899,{'biogrid': 1},
139,NCL,HNRNPU,HGNC,7667,HGNC,5048,,,Complex,2,-16362210781544776,0.86,{'sparser': 1},
138,NCL,ELAVL1,HGNC,7667,HGNC,3312,,,Complex,2,-16362210781544776,0.86,{'sparser': 1},
135,HSP90AA1,ENO1,HGNC,5253,HGNC,3350,,,Activation,2,35975754195727025,0.8775000000000001,{'reach': 1},
121,NPM1,HNRNPM,HGNC,7910,HGNC,5046,,,Complex,2,-15309963142543384,0.993,{'sparser': 1},
120,HNRNPM,NPM1,HGNC,5046,HGNC,7910,,,Complex,2,-15309963142543384,0.993,{'sparser': 1},
103,NCL,NPM1,HGNC,7667,HGNC,7910,,,Inhibition,2,-4695421216607037,0.86,{'reach': 1},
140,ELAVL1,NCL,HGNC,3312,HGNC,7667,,,Complex,2,-16362210781544776,0.86,{'sparser': 1},
184,RBMX,PKM,HGNC,9910,HGNC,9021,,,Inhibition,2,16042733398855491,0.86,{'reach': 1},
36,HSP90AA1,GAPDH,HGNC,5253,HGNC,4141,,,Complex,2,-33033445460311425,0.9899,{'biogrid': 1},
176,HSP90AA1,PKM,HGNC,5253,HGNC,9021,,,Complex,2,27937659549525804,0.993,{'reach': 1},
181,NCL,RPL28,HGNC,7667,HGNC,10330,,,Complex,2,29452009420891868,0.9899,{'biogrid': 1},
180,RPL28,NCL,HGNC,10330,HGNC,7667,,,Complex,2,29452009420891868,0.9899,{'biogrid': 1},
179,NCL,HSP90AA1,HGNC,7667,HGNC,5253,,,Complex,2,-35596886562678679,0.993,{'biogrid': 1},
178,HSP90AA1,NCL,HGNC,5253,HGNC,7667,,,Complex,2,-35596886562678679,0.993,{'biogrid': 1},
177,PKM,HSP90AA1,HGNC,9021,HGNC,5253,,,Complex,2,27937659549525804,0.993,{'reach': 1},
163,METTL16,HNRNPC,HGNC,28484,HGNC,5035,,,Complex,2,-26763066950264,0.86,{'sparser': 1},
162,METTL16,RBMX,HGNC,28484,HGNC,9910,,,Complex,2,-26763066950264,0.86,{'sparser': 1},
161,HNRNPC,METTL16,HGNC,5035,HGNC,28484,,,Complex,2,-26763066950264,0.86,{'sparser': 1},
160,HNRNPC,RBMX,HGNC,5035,HGNC,9910,,,Complex,2,-26763066950264,0.86,{'sparser': 1},
159,RBMX,METTL16,HGNC,9910,HGNC,28484,,,Complex,2,-26763066950264,0.86,{'sparser': 1},
158,RBMX,HNRNPC,HGNC,9910,HGNC,5035,,,Complex,2,-26763066950264,0.86,{'sparser': 1},
183,NPM1,NCL,HGNC,7910,HGNC,7667,,,Activation,2,-16041233805398725,0.86,{'reach': 1},
115,NPM1,UBTF,HGNC,7910,HGNC,12511,,,Complex,1,24195592703606614,0.65,{'sparser': 1},
122,NPM1,HNRNPC,HGNC,7910,HGNC,5035,,,Complex,1,-19607360318324777,0.65,{'sparser': 1},
123,NPM1,GST,HGNC,7910,FPLX,GST,,,Complex,1,-19607360318324777,0.65,{'sparser': 1},
124,HNRNPC,NPM1,HGNC,5035,HGNC,7910,,,Complex,1,-19607360318324777,0.65,{'sparser': 1},
125,HNRNPC,GST,HGNC,5035,FPLX,GST,,,Complex,1,-19607360318324777,0.65,{'sparser': 1},
