,Sample Size,PP Accuracy,PP min,PP max,Accuracy,min,max,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max
0,5,56.84568343080321,53.352981818199,60.73768224024223,62.823301255211874,54.76991524512216,99.99999999999999,61.45494261150732,55.08020036553671,68.39894472385465,58.40706283467431,53.11201585537824,66.71047129764018
1,10,30.759504901471544,28.663051659464973,34.20817903604456,39.699866577362705,31.76381917733523,59.66570483758036,37.87925655055966,31.82538220035149,44.685192171591545,34.19853734475642,30.641264789480534,38.338423297136956
2,20,18.550195030421722,16.62050147456151,21.99895123861281,30.41568268272499,21.33197143580461,53.87189502585373,27.231126599297035,22.20088717643173,31.733728941393625,23.0066724522973,20.42160064614089,25.839016141281164
3,30,14.363002734011168,12.449615083163021,16.328953645544253,27.815440983318336,17.928901949475616,49.02652888054032,23.778459436951856,19.688732452776357,29.576436458086196,19.666939007733845,17.462895332612995,21.47028912129818
4,40,12.330638863065749,11.213885723924044,13.5721606021176,26.673369830742864,16.870643616733396,45.753552376281945,21.795560511030434,17.920947175749056,26.913100365186782,17.88042156451026,15.42933189223253,20.30361495127362
5,50,11.041797319673854,9.920378807081917,12.68095707473611,24.731135092697926,17.316449843752345,45.526089576491444,21.117341458104406,17.619172214814732,25.05626237633874,16.805045667343713,14.122623389774425,18.424705930201263
6,60,10.224689646550456,9.371118316866594,11.639887533706677,24.7128248081755,15.55296279158393,42.86037355168028,20.056560127969426,16.042552745674936,23.53811335602985,16.067004154349437,14.747665592231824,18.445838670708405
7,70,9.632660593943433,8.777203146011454,10.9973853329342,24.616625060265093,16.574062775677934,39.41973911095044,19.28376340685566,15.211046070264722,22.868667021414545,15.494905609598758,13.765771768633028,17.442520949338498
8,80,9.162384554129247,8.322501425314972,10.410486152571629,23.529580268308322,16.748822990210904,44.4060144088377,18.868819451594995,15.387276730540572,22.25317073345286,15.217167798876737,13.869090277624618,16.731579537417257
9,90,8.839437721008133,7.805762711579021,9.861070917269062,23.28916721228794,16.435182411436113,38.11042283498929,18.96496176440557,16.318670867676143,23.000806694434672,14.856895770266703,13.51264919209714,16.710027770268645
10,100,8.473986090192419,7.768619745444691,9.440386321383421,23.123608931878675,15.873635291345897,37.038539947066475,18.5740492036269,16.02239572066958,21.816117158522736,14.666286408585025,13.010320925644706,15.95321895666709
