,Sample Size,PP Accuracy,PP min,PP max,Accuracy,min,max,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max
0,5,0.5846774193548386,0.3709677419354839,0.8225806451612904,0.6282258064516129,0.3870967741935484,0.8225806451612904,0.5732258064516129,0.3225806451612903,0.7903225806451613,0.6425806451612904,0.45161290322580644,0.8548387096774194
1,10,0.6577419354838709,0.5,0.8064516129032258,0.743225806451613,0.532258064516129,0.8709677419354839,0.6387096774193549,0.3709677419354839,0.8387096774193549,0.7045161290322581,0.5,0.8225806451612904
2,20,0.6817741935483869,0.5645161290322581,0.8387096774193549,0.8211290322580647,0.6290322580645161,0.9354838709677419,0.7162903225806453,0.5483870967741935,0.8548387096774194,0.7629032258064519,0.6129032258064516,0.8548387096774194
3,30,0.6859677419354837,0.532258064516129,0.8387096774193549,0.8616129032258065,0.7096774193548387,0.967741935483871,0.7396774193548384,0.5161290322580645,0.8709677419354839,0.7704838709677422,0.5806451612903226,0.8548387096774194
4,40,0.6975806451612904,0.6129032258064516,0.8225806451612904,0.8825806451612904,0.7741935483870968,0.9516129032258065,0.7458064516129032,0.6129032258064516,0.8709677419354839,0.7820967741935483,0.6612903225806451,0.8548387096774194
5,50,0.6998387096774191,0.6129032258064516,0.8064516129032258,0.9066129032258065,0.8387096774193549,0.967741935483871,0.764516129032258,0.6451612903225806,0.8870967741935484,0.7940322580645163,0.7419354838709677,0.8709677419354839
6,60,0.6979032258064515,0.6290322580645161,0.8064516129032258,0.9246774193548387,0.8548387096774194,0.9838709677419355,0.769677419354839,0.6290322580645161,0.8709677419354839,0.7977419354838711,0.6935483870967742,0.8870967741935484
7,70,0.6999999999999997,0.6290322580645161,0.8064516129032258,0.9406451612903226,0.8709677419354839,1.0,0.77,0.6451612903225806,0.8548387096774194,0.8006451612903228,0.7258064516129032,0.8709677419354839
8,80,0.6943548387096772,0.6290322580645161,0.8064516129032258,0.9482258064516129,0.8870967741935484,1.0,0.7756451612903226,0.6612903225806451,0.8709677419354839,0.8012903225806454,0.6935483870967742,0.8709677419354839
9,90,0.6893548387096772,0.6290322580645161,0.7903225806451613,0.9538709677419355,0.8709677419354839,1.0,0.7733870967741939,0.6612903225806451,0.8709677419354839,0.7959677419354841,0.7258064516129032,0.8709677419354839
10,100,0.6925806451612901,0.6129032258064516,0.8064516129032258,0.9630645161290322,0.8870967741935484,1.0,0.776451612903226,0.6612903225806451,0.9032258064516129,0.8006451612903227,0.7419354838709677,0.8548387096774194
