,Sample Size,PP Accuracy,PP min,PP max,Accuracy,min,max,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max
0,5,0.6677215189873418,0.4936708860759494,0.8481012658227848,0.6749367088607595,0.4936708860759494,0.810126582278481,0.6645569620253164,0.35443037974683544,0.8354430379746836,0.7093670886075951,0.4936708860759494,0.8354430379746836
1,10,0.7469620253164557,0.4936708860759494,0.8354430379746836,0.7379746835443037,0.4936708860759494,0.8607594936708861,0.7468354430379748,0.5189873417721519,0.8607594936708861,0.7636708860759494,0.4936708860759494,0.8354430379746836
2,20,0.7746835443037974,0.620253164556962,0.8354430379746836,0.8059493670886074,0.6708860759493671,0.8860759493670886,0.7846835443037975,0.5443037974683544,0.8607594936708861,0.7881012658227848,0.7215189873417721,0.8354430379746836
3,30,0.798987341772152,0.7468354430379747,0.8481012658227848,0.8273417721518989,0.7468354430379747,0.8860759493670886,0.7992405063291139,0.7215189873417721,0.8734177215189873,0.7941772151898735,0.7341772151898734,0.8354430379746836
4,40,0.8024050632911394,0.7468354430379747,0.8481012658227848,0.850253164556962,0.7468354430379747,0.9113924050632911,0.8032911392405064,0.7341772151898734,0.8607594936708861,0.7950632911392403,0.7341772151898734,0.8607594936708861
5,50,0.8039240506329115,0.759493670886076,0.8734177215189873,0.8770886075949366,0.7974683544303798,0.9367088607594937,0.8091139240506331,0.759493670886076,0.8734177215189873,0.7930379746835442,0.7341772151898734,0.8481012658227848
6,60,0.8068354430379749,0.759493670886076,0.8607594936708861,0.8888607594936709,0.8227848101265823,0.9493670886075949,0.8111392405063291,0.759493670886076,0.8734177215189873,0.7953164556962026,0.7468354430379747,0.8481012658227848
7,70,0.808987341772152,0.759493670886076,0.8734177215189873,0.9021518987341771,0.8227848101265823,0.9746835443037974,0.8079746835443038,0.7468354430379747,0.8607594936708861,0.7937974683544303,0.759493670886076,0.8354430379746836
8,80,0.8083544303797471,0.7721518987341772,0.8607594936708861,0.9122784810126582,0.8227848101265823,1.0,0.8179746835443039,0.7721518987341772,0.8607594936708861,0.7964556962025316,0.7468354430379747,0.8354430379746836
9,90,0.807215189873418,0.7468354430379747,0.8481012658227848,0.9289873417721517,0.8607594936708861,0.9873417721518988,0.8158227848101268,0.7721518987341772,0.8734177215189873,0.7999999999999998,0.759493670886076,0.8481012658227848
10,100,0.8127848101265823,0.7721518987341772,0.8607594936708861,0.9331645569620253,0.8607594936708861,0.9746835443037974,0.8151898734177218,0.759493670886076,0.8734177215189873,0.7982278481012657,0.759493670886076,0.8481012658227848
