,Sample Size,PP Accuracy,PP min,PP max,Accuracy,min,max,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max
0,5,0.517,0.475,0.6625,0.5388750000000001,0.4625,0.6875,0.5303749999999999,0.475,0.6875,0.5646249999999999,0.5,0.7625
1,10,0.598375,0.4875,0.8125,0.597375,0.4625,0.7625,0.6186250000000001,0.4875,0.7875,0.6757499999999999,0.4875,0.8375
2,20,0.6773750000000001,0.5125,0.8375,0.7048749999999999,0.5625,0.8,0.6950000000000002,0.5,0.8625,0.7665000000000002,0.6,0.9
3,30,0.734375,0.525,0.8625,0.7517499999999999,0.6,0.8625,0.7610000000000001,0.55,0.875,0.7966250000000001,0.7,0.875
4,40,0.7710000000000001,0.525,0.8875,0.804,0.675,0.875,0.814125,0.6,0.95,0.8117499999999999,0.7,0.8875
5,50,0.7751250000000001,0.6,0.8875,0.8346250000000001,0.6875,0.9125,0.8336250000000001,0.725,0.9375,0.8193750000000002,0.725,0.9125
6,60,0.8018749999999999,0.625,0.875,0.8575000000000002,0.7125,0.9375,0.8565,0.725,0.9375,0.82525,0.7625,0.8875
7,70,0.7985,0.625,0.8875,0.8745000000000002,0.775,0.9375,0.870875,0.7375,0.9625,0.831875,0.7625,0.8875
8,80,0.8087499999999999,0.675,0.9,0.891875,0.8125,0.95,0.879375,0.7375,0.9625,0.8343749999999999,0.775,0.9125
9,90,0.816,0.7,0.9125,0.9052500000000001,0.825,0.9625,0.886875,0.775,0.9625,0.840125,0.7875,0.9
10,100,0.821875,0.7375,0.9,0.9229999999999998,0.8625,0.975,0.899375,0.8125,0.975,0.8409999999999997,0.775,0.9375
