EGFR,IGFR,SOS,Ras,PI3K,AKT,Raf,Mek,Erk
33.2374552598945,5.06973841508587,44,48,56,0,69,88,87
34.4425282262805,5.23097365317895,52,54,68,0,55,87,89
36.9067406101342,4.74758627359353,48,47,66,0,67,86,92
35.892516258705,5.92827250413269,44,49,67,0,64,92,88
40.0758804755925,5.14569221065582,48,51,61,0,60,90,87
36.4905154908169,6.29215865077081,43,46,58,0,65,90,87
39.6563249138061,4.73537751419328,42,47,72,0,63,79,95
36.4132634891793,5.61369154883121,52,50,58,0,63,94,94
32.597781902274,5.13202959512946,44,41,63,0,56,87,83
30.6596549834721,3.82679183107362,41,45,58,0,62,88,93
40.1576705631008,3.18058232082192,44,49,59,0,68,89,93
36.9557756639655,3.83061481817221,43,50,70,0,58,89,94
37.8052338247005,4.84308184513513,46,55,63,0,64,89,86
37.4296575785119,6.75719345361963,43,54,65,0,72,88,91
31.9341793183882,5.86819802175532,50,43,55,0,63,87,89
37.1455994860465,5.38909893869647,42,46,65,0,63,88,89
36.7952108784004,4.9879823742842,43,44,62,0,63,89,92
34.8912389722447,3.38267563902314,48,43,67,0,67,81,87
37.7616191337042,6.70943130972063,49,45,64,0,50,81,89
41.1013164467961,4.78603712408226,46,57,67,0,66,91,93
34.0062815505729,5.87693948320953,51,43,64,0,60,88,87
38.1189401051265,5.71414355282967,39,48,66,0,66,88,93
33.5500457796586,5.94653014716994,41,47,60,0,56,85,87
35.531021071814,6.73012916844402,52,49,60,0,61,87,85
35.2082517547469,4.90395974050122,46,48,66,0,66,88,92
34.1118980704325,4.1244511359717,43,51,65,0,62,84,93
34.9412687418956,5.30840491209006,43,45,59,0,61,85,90
40.5930276919557,4.50496891108763,55,44,63,0,61,91,86
35.7252535502696,7.72745287255359,42,43,57,0,68,88,96
34.9010069994337,4.85232499721973,43,44,64,0,62,85,87
35.9681493339267,5.40644455620855,46,54,61,0,63,89,84
38.5597233644344,4.12936632709537,44,46,61,0,56,84,92
30.562879309928,4.34633973423731,42,47,63,0,64,91,88
36.7248179487935,5.55254039048364,45,47,64,0,58,88,93
40.2594917458923,5.59516436423192,49,43,64,0,67,86,87
34.4816588277242,4.8897399465444,46,54,60,0,60,88,90
31.0809896745187,5.62176164771984,41,42,59,0,57,81,91
36.1778966873568,4.1410430899405,41,47,55,0,56,86,87
34.3429588232358,3.23131633493135,46,50,59,0,64,90,88
36.7061605846021,5.04036810203375,51,55,70,0,63,85,92
38.3400833346226,6.39477687688555,47,42,63,0,65,83,89
36.9518822338934,4.90439005838694,43,46,63,0,68,88,88
31.9938509860348,6.66752211865188,37,48,63,0,62,85,83
37.418505864728,4.72770018058734,49,45,58,0,60,88,86
33.0526830924799,6.44585231663054,41,40,61,0,69,92,84
38.3706101097656,5.28428761303665,40,53,74,0,62,87,94
39.3615215017194,5.64106303671534,40,48,58,0,55,88,91
36.1658082080815,6.84185074124865,38,46,59,0,64,83,88
38.376397239308,5.58428124310318,48,56,69,0,61,84,86
35.557027621189,6.76660661068192,54,45,64,0,48,87,92
39.7013626551306,6.28272293665754,49,51,62,0,67,86,95
40.7476216429258,4.46089509586358,44,53,63,0,65,86,94
39.6882773074927,4.90365603825676,47,52,62,0,59,83,92
35.3503277846102,2.82309073060945,42,44,60,0,57,89,92
37.5839361571282,3.92530694610534,44,40,66,0,62,88,94
36.7307031056958,4.86797021943606,46,55,60,0,60,85,89
34.1459039734434,7.20980351537415,49,44,62,0,61,90,91
38.1553993199871,5.23013402188152,42,44,59,0,66,89,85
